trade_id,pnl_ratio,entry_timing_score,exit_timing_score,risk_mgmt_score,win,return_pct
t0,1.6098371901109696,70,68,72,0,1.2163263542212241
t1,-2.49964733150708,99,60,92,0,-0.5780045735930042
t2,0.16588020693292313,76,90,79,1,0.5993477343027659
t3,0.41508898326951177,78,,76,0,0.34839060971190067
t4,-0.02400624768252217,,60,51,1,0.7251873185867325
t5,0.12680461052343958,82,65,94,1,1.271825028654896
t6,-0.01273770347367482,92,78,94,0,0.6011816075648274
t7,1.4812160528658542,91,60,,0,0.9917481280275597
t8,-1.0724666753788579,93,76,68,1,-0.9114092890940938
t9,-0.07252132646931961,72,57,73,0,-0.08756984794100808
t10,0.34154052024747444,85,83,78,1,-0.0602874077459169
t11,1.3235104310683548,51,54,86,0,0.7110006392464003
t12,0.6298951947691026,64,99,53,1,0.6295581870139302
t13,-0.8553967607691554,89,60,,0,-0.11989078552580737
t14,0.45704430005152746,59,93,88,0,0.6218105612191596
t15,0.9418033574676128,66,58,52,0,0.8405303128229856
t16,-1.7553594559667702,56,88,66,1,-0.22290784522721532
t17,,50,88,74,0,1.0434488003762485
t18,-1.0686993731927132,,72,56,0,-0.8564501729846896
t19,,53,71,86,0,0.6408297700931179
t20,2.1304394745036754,93,86,98,0,1.720256924376361
t21,0.5924804339223061,74,61,76,0,0.38826028772775256
t22,-0.5974185873455782,98,56,90,0,0.9188495586701058
t23,-1.1193624843668253,97,71,83,1,0.4535148468034218
t24,,97,64,97,1,0.32961928617064906
t25,0.7016563738800883,95,59,79,0,0.27597683480878804
t26,-1.158288085401004,,,,0,0.15806426415748723
t27,1.6135490832192199,99,,74,0,1.4880216397935722
t28,0.2911718004042928,64,88,74,0,0.050599452501161046
t29,-1.230754521289494,73,86,60,0,-0.5121338680589375
